t(s),T1_ext,T2_ext,T3_ext,T4_ext,T1,T2,T3,T4,P1,P2,P3,P4,H1,H2,H3,H4,Turb1_180,Turb2_180,Turb3_180,Turb4_180,Turb1_90,Turb2_90,Turb3_90,Turb4_90,Turb1_ref,Turb2_ref,Turb3_ref,Turb4_ref
84246.419,25.25,25.25,25.25,25.187,24.5724609375,24.8095703125,24.84375,28.0853515625,1011.1715271629906,1011.6862808619169,1010.5765755293717,1010.7538491917476,92.43342014029942,100,92.1274783059666,77.83192975852386,4.010372386852627,3.971121189001129,3.877743339335307,3.859992797631764,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638
84276.42,25.25,25.25,25.25,25.187,24.5572265625,24.804296875,24.84375,28.0751953125,1011.1860205569999,1011.7182398610197,1010.635417911117,1010.8232687739321,92.53551259660966,100,92.44931802674347,77.85324861109144,3.9727462385937073,3.9446203802606283,3.842867275002289,3.828491836298715,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638
84306.422,25.25,25.25,25.25,25.187,24.5572265625,24.804296875,24.84375,28.0701171875,1011.2160531389686,1011.7387784643479,1010.6997168588201,1010.7918450009652,92.62389235668952,100,92.38483904068903,78.07265274949894,3.999872066408277,3.94874550614948,3.839242164372692,3.823491683706168,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638
84336.424,25.25,25.25,25.25,25.187,24.5572265625,24.79921875,24.84375,28.0751953125,1011.3082193581524,1011.803464001954,1010.7212488348976,1010.8807886844833,92.49710529944262,100,92.38483904068903,77.72278526241145,4.020622699667348,3.956995757927183,3.8886186712240973,3.8604928128910183,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638
84366.425,25.25,25.25,25.25,25.187,24.5623046875,24.79921875,24.85390625,28.0701171875,1011.3039144890909,1011.8097980447881,1010.6976330218879,1010.9141223444832,92.69155990818443,100,92.64860877074773,77.75284858053564,3.9808714865565964,3.9627459334086126,3.8461173741874446,3.869618091372417,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638
84396.427,25.25,25.312,25.25,25.187,24.5572265625,24.8095703125,24.85390625,28.0802734375,1011.301516352172,1011.8166604650902,1010.7688786183024,1010.9239614606371,92.4793131258916,100,92.26817064635294,77.7299204900112,4.003247169408246,3.952120609149449,3.865617969298379,3.8442423169652393,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638
84426.429,25.25,25.25,25.25,25.187,24.5572265625,24.8095703125,24.838671875,28.0701171875,1011.3432779407957,1011.8737157909643,1010.8296061300814,1010.9344906410795,92.82864001624857,100,92.20898087727143,77.91889240894687,3.978246406445509,3.942620319223609,3.8286168401135288,3.833616992706076,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638
84456.431,25.25,25.25,25.25,25.187,24.5572265625,24.79921875,24.838671875,28.0599609375,1011.4363023182693,1011.9046679400874,1010.8421699510448,1010.9798017313472,92.42194679448909,100,92.61815546888721,77.78169022818375,3.9933718680379653,3.955370708334605,3.8354920499282814,3.8849935605945007,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638
84486.433,25.312,25.25,25.25,25.187,24.5572265625,24.79921875,24.84375,28.0548828125,1011.3735737340494,1011.9153210033082,1010.8286752649059,1011.01695104227,92.35884268173467,100,92.03197990359206,77.54922457445421,3.974621295815912,3.948620502334666,3.8197415692617573,3.81474141666921,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638
84516.436,25.25,25.312,25.25,25.187,24.5623046875,24.79921875,24.83359375,28.0548828125,1011.3718979792898,1011.8869128419581,1010.8308938907231,1010.992236688201,92.52403986560311,100,92.34852759935524,77.9291416321803,3.9802464674825284,3.9388702047791986,3.865617969298379,3.829866878261666,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638
84546.438,25.25,25.25,25.25,25.187,24.551953125,24.794140625,24.83359375,28.0548828125,1011.3918744334349,1011.8861442552275,1010.8320489359506,1010.992465672517,92.6828781069525,100,92.4892057495563,77.45433829029173,3.9797464522232735,3.964870998260445,3.8727431867427597,3.8291168553727837,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638
